Ýl_kodu;Ýller;Adet;Hektar
TR;Türkiye;3797;27485
TR100;Ýstanbul;76;21
TR211;Tekirdað;20;7
TR212;Edirne;46;497
TR213;Kýrklareli;24;80
TR221;Balýkesir;102;260
TR222;Çanakkale;124;1706
TR310;Ýzmir;196;4378
TR321;Aydýn;81;1765
TR322;Denizli;79;1181
TR323;Muðla;296;1698
TR331;Manisa;205;4803
TR332;Afyonkarahisar;31;167
TR333;Kütahya;115;121
TR334;Uþak;45;1474
TR411;Bursa;90;674
TR412;Eskiþehir;36;11
TR413;Bilecik;22;30
TR421;Kocaeli;22;27
TR422;Sakarya;51;33
TR423;Düzce;10;3
TR424;Bolu;46;3615
TR425;Yalova;8;30
TR510;Ankara;53;113
TR521;Konya;30;32
TR522;Karaman;11;20
TR611;Antalya;276;339
TR612;Isparta;39;24
TR613;Burdur;33;19
TR621;Adana;104;114
TR622;Mersin;107;69
TR631;Hatay;40;269
TR632;Kahramanmaraþ;182;844
TR633;Osmaniye;29;9
TR711;Kýrýkkale;-;-
TR712;Aksaray;4;11
TR713;Niðde;5;3
TR714;Nevþehir;4;25
TR715;Kýrþehir;4;8
TR721;Kayseri;22;85
TR722;Sivas;33;82
TR723;Yozgat;12;46
TR724;Zonguldak;12;8
TR725;Karabük;44;135
TR726;Bartýn;9;2
TR727;Kastamonu;80;76
TR728;Çankýrý;19;132
TR729;Sinop;41;66
TR730;Samsun;55;31
TR731;Tokat;54;111
TR732;Çorum;49;80
TR733;Amasya;25;24
TR734;Trabzon;49;57
TR735;Ordu;58;65
TR736;Giresun;34;28
TR737;Rize;16;27
TR738;Artvin;18;3
TR739;Gümüþhane;6;3
TR740;Erzurum;3;2
TR741;Erzincan;2;-
TR742;Bayburt;-;-
TR743;Aðrý;-;-
TR744;Kars;1;-
TR745;Iðdýr;-;-
TR746;Ardahan;1;-
TR747;Malatya;15;107
TR748;Elazýð;35;155
TR749;Bingöl;65;113
TR750;Tunceli;14;78
TR751;Van;3;1
TR752;Muþ;8;16
TR753;Bitlis;16;208
TR754;Hakkari;15;53
TR755;Gaziantep;55;150
TR756;Adýyaman;56;89
TR757;Kilis;9;19
TR758;Þanlýurfa;21;83
TR759;Diyarbakýr;80;377
TR760;Mardin;58;186
TR761;Batman;19;58
TR762;Þýrnak;10;3
TR763;Siirt;29;246
TR764;;;
